,SAMPN,STYPE,CTFIP,INCOM_R,DOW,HHVEH
2064,3128486,1,36103,4,4,3
2065,3128505,1,36081,2,2,1
2066,3128519,1,36005,1,4,0
2067,3128575,1,36081,1,5,2
2068,3128637,1,36027,1,1,3
2069,3128643,1,36005,9,3,0
2070,3128684,1,9009,2,4,2
2071,3128707,1,34037,4,2,6
2072,3128719,1,34025,2,4,2
2073,3128751,1,36081,9,3,0
2074,3128752,1,34041,1,3,0
2075,3128780,1,34035,1,5,1
2076,3128783,1,9001,1,4,0
2077,3128805,1,34025,4,4,2
2078,3128815,1,34003,4,5,2
2079,3128821,1,36103,4,4,3
2080,3128832,1,36061,2,4,0
2081,3128866,1,34019,4,4,2
2082,3128900,1,36081,1,2,0
2083,3128920,1,34013,4,1,2
2084,3128936,1,34039,4,4,4
2085,3128937,1,36047,2,2,1
2086,3128953,1,36061,4,5,1
2087,3128980,1,36103,2,3,1
2088,3129014,1,34041,2,3,2
2089,3129030,1,34027,2,1,2
2090,3129114,1,34023,2,4,1
2091,3129125,1,34027,4,3,2
2092,3129150,1,36119,4,2,1
2093,3129157,1,36047,2,4,0
2094,3129162,1,36119,4,2,2
2095,3129218,1,34029,2,4,1
2096,3129255,1,36059,4,3,1
2097,3129306,1,36005,2,2,1
2098,3129313,1,34023,4,4,2
2099,3129315,1,36079,4,3,3
2100,3129321,1,34021,1,4,1
2101,3129338,1,36119,4,5,8
2102,3129399,1,36047,2,1,2
2103,3129463,1,9001,4,5,2
2104,3129470,1,9001,4,2,2
2105,3129485,1,34025,4,1,3
2106,3129503,1,34019,1,4,1
2107,3129510,1,36059,4,4,3
2108,3129535,1,36005,1,3,0
2109,3129602,1,36061,4,2,1
2110,3129618,1,34041,2,5,2
2111,3129703,1,34019,2,3,2
2112,3129716,1,36061,3,3,1
2113,3129808,1,34029,4,2,3
2114,3129815,1,34031,2,3,1
2115,3129817,1,36061,4,5,1
2116,3129830,1,36005,2,2,0
2117,3129857,1,34029,2,4,0
2118,3129876,1,34025,9,3,1
2119,3129932,1,36103,9,2,3
2120,3129935,1,36047,2,1,1
2121,3129951,1,34017,9,3,2
2122,3129952,1,34003,3,4,1
2123,3130055,1,36103,2,4,3
2124,3130081,1,34027,2,1,1
2125,3130091,1,34025,2,2,1
2126,3130214,1,34039,3,2,1
2127,3130263,1,34041,1,2,2
2128,3130312,1,36079,4,2,2
2129,3130335,1,36103,4,5,2
2130,3130362,1,36061,3,1,0
2131,3130429,1,36079,4,2,1
2132,3130459,1,36059,3,1,2
2133,3130488,1,34035,2,3,3
2134,3130516,1,34017,2,3,1
2135,3130531,1,34039,4,3,2
2136,3130555,1,34021,4,5,2
2137,3130604,1,34003,4,4,2
2138,3130637,1,36061,3,1,0
2139,3130652,1,36027,4,3,5
2140,3130659,1,36061,1,4,0
2141,3130691,1,36005,2,5,0
2142,3130711,1,36119,4,3,2
2143,3130806,1,36061,2,3,0
2144,3130823,1,34019,4,1,2
2145,3130826,1,34023,4,3,4
2146,3130827,1,36005,1,3,0
2147,3130856,1,34023,4,3,3
2148,3130857,1,34025,4,4,4
2149,3130861,1,36061,4,2,0
2150,3130880,1,36047,4,4,1
2151,3130883,1,34023,2,1,4
2152,3130959,1,36027,1,4,2
2153,3130961,1,34025,4,5,3
2154,3130974,1,36071,2,2,4
2155,3130989,1,34013,4,2,2
2156,3131106,1,36027,3,3,3
2157,3131134,1,36071,2,4,2
2158,3131169,1,34027,4,4,2
2159,3131188,1,36119,4,2,4
2160,3131241,1,36047,1,3,0
2161,3131305,1,9009,2,2,2
2162,3131323,1,34013,4,3,2
2163,3131338,1,36085,2,1,2
2164,3131346,1,36119,4,1,3
2165,3131352,1,34027,2,3,3
2166,3131370,1,36061,1,1,0
2167,3131405,1,34027,2,5,2
2168,3131411,1,36079,4,5,2
2169,3131415,1,34017,1,4,1
2170,3131481,1,34041,2,5,1
2171,3131526,1,36027,4,5,2
2172,3131535,1,34003,3,2,3
2173,3131582,1,36047,3,3,1
2174,3131608,1,36005,1,1,1
2175,3131618,1,36061,4,3,0
2176,3131724,1,9009,1,1,1
2177,3131735,1,34019,4,1,2
2178,3131768,1,36027,4,3,2
2179,3131805,1,36119,2,2,3
2180,3131884,1,34041,3,3,4
2181,3131888,1,34017,9,2,0
2182,3131904,1,36081,4,5,2
2183,3131996,1,34035,2,3,3
2184,3132028,1,36081,4,2,2
2185,3132087,1,36061,9,1,1
2186,3132107,1,36061,2,1,0
2187,3132134,1,34029,1,5,1
2188,3132245,1,36061,4,4,2
2189,3132248,1,36005,9,2,2
2190,3132284,1,34035,1,3,1
2191,3132326,1,36061,2,3,0
2192,3132331,1,36027,3,5,2
2193,3132334,1,34017,2,3,0
2194,3132337,1,34003,1,2,1
2195,3132361,1,34027,4,3,3
2196,3132389,1,36059,9,4,3
2197,3132407,1,36103,2,3,3
2198,3132464,1,36005,1,3,0
2199,3132471,1,34003,1,3,1
2200,3132535,1,34023,4,2,2
2201,3132539,1,36071,1,3,2
2202,3132542,1,34029,1,1,2
2203,3132549,1,36061,1,1,0
2204,3132595,1,36119,2,5,1
2205,3132690,1,34021,2,3,2
2206,3132711,1,36027,9,2,3
2207,3132726,1,36047,2,5,1
2208,3132786,1,34031,4,3,4
2209,3132814,1,36059,1,2,1
2210,3132816,1,9009,2,1,3
2211,3132886,1,36061,4,1,0
2212,3132895,1,36103,2,3,3
2213,3132905,1,34003,9,2,2
2214,3132997,1,36005,1,3,0
2215,3133026,1,36027,2,4,2
2216,3133045,1,34025,1,2,1
2217,3133047,1,34029,1,3,1
2218,3133063,1,36027,4,2,3
2219,3133083,1,36061,2,4,1
2220,3133118,1,9001,4,3,3
2221,3133141,1,36081,1,2,0
2222,3133145,1,36119,4,1,0
2223,3133172,1,36059,4,1,3
2224,3133176,1,34013,9,2,3
2225,3133202,1,34031,9,3,1
2226,3133204,1,36059,4,4,1
2227,3133229,1,36103,3,3,1
2228,3133259,1,34013,4,3,2
2229,3133308,1,36005,1,1,0
2230,3133312,1,36027,1,3,0
2231,3133331,1,34027,2,3,1
2232,3133347,1,36087,4,5,2
2233,3133360,1,34003,3,3,3
2234,3133399,1,34025,4,3,6
2235,3133411,1,34023,3,3,1
2236,3133433,1,36081,9,5,1
2237,3133477,1,36061,2,2,0
2238,3133488,1,36081,2,4,5
2239,3133505,1,36103,4,4,2
2240,3133506,1,34027,4,3,3
2241,3133509,1,36087,4,1,2
2242,3133549,1,36059,2,3,1
2243,3133557,1,34041,2,3,2
2244,3133593,1,36081,2,3,1
2245,3133628,1,34037,2,2,2
2246,3133654,1,34017,4,4,4
2247,3133680,1,36119,4,2,3
2248,3133690,1,36061,9,3,0
2249,3133712,1,9009,4,3,6
2250,3133732,1,36081,3,3,1
2251,3133738,1,36061,4,5,2
2252,3133767,1,34019,4,1,4
2253,3133852,1,36079,4,4,3
2254,3133866,1,34029,1,3,1
2255,3133871,1,34029,2,3,2
2256,3133884,1,34019,4,5,2
2257,3133901,1,36071,2,3,1
2258,3133932,1,34017,4,5,1
2259,3133937,1,36061,4,1,0
2260,3133951,1,34025,4,2,8
2261,3133977,1,34021,2,5,2
2262,3133993,1,36047,2,1,1
2263,3134001,1,34031,4,4,3
2264,3134028,1,36103,1,2,0
2265,3134043,1,34019,3,3,2
2266,3134074,1,34035,9,2,2
2267,3134081,1,36081,1,3,2
2268,3134085,1,34025,4,3,3
2269,3134123,1,34027,4,2,4
2270,3134134,1,36005,1,1,0
2271,3134138,1,34027,2,4,1
2272,3134178,1,36059,2,3,1
2273,3134200,1,34029,1,5,4
2274,3134227,1,36071,1,5,2
2275,3134231,1,34003,4,5,1
2276,3134241,1,36059,4,1,2
2277,3134267,1,9001,1,1,3
2278,3134269,1,9001,1,2,1
2279,3134297,1,34013,1,5,0
2280,3134338,1,34029,4,5,4
2281,3134371,1,34003,9,5,1
2282,3134426,1,34003,2,1,3
2283,3134443,1,36047,2,5,1
2284,3134445,1,36059,1,4,1
2285,3134479,1,34019,2,3,1
2286,3134502,1,9009,4,4,3
2287,3134562,1,36085,3,2,2
2288,3134600,1,36119,3,4,3
2289,3134627,1,36103,9,1,4
2290,3134727,1,34025,9,3,1
2291,3134738,1,34031,4,2,3
2292,3134740,1,34027,2,5,4
2293,3134753,1,34029,2,3,1
2294,3134762,1,9009,4,5,7
2295,3134767,1,36047,4,5,1
2296,3134803,1,36103,4,3,3
2297,3134815,1,34017,1,3,0
2298,3134822,1,34027,4,3,3
2299,3134829,1,36061,2,3,1
2300,3134885,1,36047,1,5,0
2301,3134916,1,36119,4,4,4
2302,3134927,1,36103,4,1,2
2303,3134968,1,34037,4,3,2
2304,3134986,1,34027,2,5,2
2305,3135054,1,34013,4,4,2
2306,3135089,1,36061,2,3,0
2307,3135140,1,9001,2,3,2
2308,3135153,1,34017,1,4,2
2309,3135176,1,36047,2,1,0
2310,3135178,1,34019,4,5,4
2311,3135213,1,34013,4,3,2
2312,3135231,1,34041,1,4,1
2313,3135244,1,36047,1,3,0
2314,3135287,1,34003,3,5,2
2315,3135319,1,34039,4,3,2
2316,3135358,1,36027,1,1,2
2317,3135359,1,34041,3,1,1
2318,3135372,1,34029,2,3,1
2319,3135404,1,36087,4,2,3
2320,3135442,1,34025,1,3,3
2321,3135532,1,34041,2,3,1
2322,3135533,1,34029,1,4,1
2323,3135535,1,34023,1,1,1
2324,3135554,1,34023,3,3,2
2325,3135644,1,36085,2,3,2
2326,3135667,1,36103,4,5,2
2327,3135679,1,36061,3,1,0
2328,3135706,1,36047,1,5,1
2329,3135711,1,36027,1,5,0
2330,3135715,1,36081,4,3,2
2331,3135736,1,34013,4,3,4
2332,3135751,1,36103,2,5,2
2333,3135756,1,34021,2,3,1
2334,3135780,1,34021,9,3,3
2335,3135787,1,34017,2,2,2
2336,3135797,1,36061,4,5,0
2337,3135899,1,36005,9,4,0
2338,3135965,1,34019,4,4,2
2339,3135985,1,34027,2,5,0
2340,3136003,1,36027,4,1,1
2341,3136027,1,9001,2,4,1
2342,3136034,1,34023,2,3,2
2343,3136048,1,34023,4,3,2
2344,3136198,1,36061,2,2,0
2345,3136225,1,34029,1,2,0
2346,3136229,1,36087,1,4,0
2347,3136240,1,36119,9,5,4
2348,3136244,1,36047,1,1,1
2349,3136267,1,34027,4,4,2
2350,3136268,1,36059,4,2,2
2351,3136379,1,36047,1,3,0
2352,3136404,1,36027,4,5,4
2353,3136405,1,34025,4,5,2
2354,3136423,1,36061,2,1,0
2355,3136459,1,36061,2,3,0
2356,3136517,1,34023,2,3,1
2357,3136554,1,34017,4,3,1
2358,3136559,1,34023,2,1,2
2359,3136591,1,36061,2,1,0
2360,3136613,1,36103,4,1,2
2361,3136670,1,36047,1,4,0
2362,3136671,1,36047,1,3,0
2363,3136674,1,36005,1,3,0
2364,3136682,1,34019,4,2,2
2365,3136688,1,36079,2,2,3
2366,3136751,1,34029,3,3,3
2367,3136763,1,36103,3,1,3
2368,3136871,1,36119,2,3,3
2369,3136921,1,36059,4,1,1
2370,3136962,1,36103,2,2,2
2371,3136972,1,36047,1,3,0
2372,3136996,1,36061,1,5,1
2373,3136997,1,36079,4,3,2
2374,3137004,1,36071,1,3,1
2375,3137032,1,36081,2,2,1
2376,3137085,1,34003,4,3,4
2377,3137097,1,34037,9,1,2
2378,3137248,2,36047,3,2,0
2379,3137362,2,36079,2,3,3
2380,3137457,2,36081,9,1,2
2381,3137481,2,36079,2,5,4
2382,3137536,2,34013,2,3,1
2383,3137612,2,36081,1,1,0
2384,3137801,2,34017,4,5,1
2385,3138108,2,34027,2,2,1
2386,3138180,2,36079,2,4,2
2387,3138271,2,36103,1,5,0
2388,3138322,2,36103,4,3,1
2389,3138368,2,36103,3,3,2
2390,3138393,2,36005,1,2,1
2391,3138436,2,36047,2,4,0
2392,3138503,2,34031,1,3,2
2393,3138579,2,36079,2,3,1
2394,3138768,2,36005,1,5,0
2395,3138975,2,36119,4,1,1
2396,3139026,2,34035,2,4,1
2397,3139075,2,36047,4,1,0
2398,3139193,2,36103,4,1,2
2399,3139210,2,36047,2,5,0
2400,3139221,2,36047,2,2,1
2401,3139292,2,36005,3,1,1
2402,3139310,2,34003,2,2,2
2403,3139399,2,36103,4,2,2
2404,3139462,2,36081,2,3,1
2405,3139594,2,34037,4,3,2
2406,3139703,2,34035,3,2,2
2407,3139886,2,36119,4,2,1
2408,3139980,2,9009,4,1,2
2409,3140125,2,34029,2,1,2
2410,3140272,2,34013,3,5,1
2411,3140286,2,36047,1,4,0
2412,3140311,2,36047,1,2,1
2413,3140431,2,36081,2,1,1
2414,3140600,2,34039,1,1,0
2415,3140687,2,36119,4,1,2
2416,3140851,2,36047,2,2,0
2417,3140880,2,34037,3,5,3
2418,3140918,2,36081,4,2,0
2419,3141032,2,36079,9,2,3
2420,3141090,2,34027,2,3,1
2421,3141097,2,34037,2,4,1
2422,3141101,2,36081,2,3,1
2423,3141326,2,36061,3,3,1
2424,3141559,2,36027,1,5,1
2425,3141596,2,34017,4,3,1
2426,3141605,2,36059,4,2,2
2427,3141830,2,36005,1,3,0
2428,3141870,2,34017,2,5,0
2429,3142024,2,36005,2,1,0
2430,3142126,2,34025,2,4,3
2431,3142129,2,36071,3,1,2
2432,3142134,2,36103,1,5,1
2433,3142141,2,34003,3,5,3
2434,3142168,2,34013,9,1,2
2435,3142235,2,36061,4,5,1
2436,3142267,2,34025,4,4,2
2437,3142325,2,34013,1,1,0
2438,3142420,2,34003,3,2,2
2439,3142437,2,36005,2,1,1
2440,3142453,2,36103,2,5,1
2441,3142517,2,9009,1,1,1
2442,3142518,2,36061,4,1,0
2443,3142537,2,36061,2,3,0
2444,3142540,2,36005,2,5,0
2445,3142559,2,34027,3,2,2
2446,3142606,2,36047,4,1,0
2447,3142674,2,9009,1,2,0
2448,3142855,2,34003,3,1,1
2449,3142993,2,34039,4,3,1
2450,3143086,2,36061,2,4,0
2451,3143454,2,36047,4,3,0
2452,3143704,2,36081,4,4,0
2453,3143864,2,36061,2,5,0
2454,3143871,2,36005,2,5,1
2455,3144136,2,36071,4,5,3
2456,3144171,2,36005,2,1,1
2457,3144197,2,36027,2,4,3
2458,3144590,2,36061,1,1,0
2459,3144675,2,34035,4,2,2
2460,3144730,2,34021,4,3,1
2461,3144847,2,34017,4,1,2
2462,3145008,2,34041,4,4,2
2463,3145016,2,36047,3,2,1
2464,3145046,2,34013,1,2,0
2465,3145102,2,36061,9,2,1
2466,3145128,2,36047,9,2,0
2467,3145323,2,36047,1,3,1
2468,3145343,2,36061,1,5,0
2469,3145427,2,9001,2,1,2
2470,3145430,2,36103,3,1,2
2471,3145511,2,34031,3,4,2
2472,3145551,2,34017,9,2,1
2473,3145780,2,34031,1,5,1
2474,3145973,2,34013,2,1,1
2475,3146074,2,36061,2,3,0
2476,3146167,2,34023,3,4,2
2477,3146256,2,34003,3,2,3
2478,3146354,2,36061,4,1,2
2479,3146412,2,34003,2,4,2
2480,3146541,2,36027,1,1,0
2481,3146548,2,9001,2,4,1
2482,3146580,2,34029,3,1,2
2483,3146712,2,36103,4,2,2
2484,3146887,2,36061,2,4,2
2485,3146903,2,36061,4,1,0
2486,3146938,2,36061,1,3,0
2487,3146941,2,34027,1,3,0
2488,3146994,2,36081,2,3,1
2489,3146999,2,34017,3,2,2
2490,3147012,2,36103,2,5,1
2491,3147038,2,34023,4,2,2
2492,3147080,2,36061,2,3,0
2493,3147141,2,36103,1,5,0
2494,3147278,2,36047,2,2,0
2495,3147616,2,36103,4,1,3
2496,3147706,2,36081,3,3,1
2497,3147716,2,34031,3,5,2
2498,3147771,2,34025,4,2,1
2499,3147889,2,34013,4,1,2
2500,3147899,2,36061,4,2,1
2501,3147903,2,36005,1,4,0
2502,3147906,2,34003,2,1,2
2503,3148165,2,9009,1,3,0
2504,3148173,2,36059,1,5,2
2505,3148185,2,36061,9,1,0
2506,3148290,2,36047,3,2,1
2507,3148322,2,36047,4,1,0
2508,3148432,2,36081,1,4,0
2509,3148436,2,36061,1,3,0
2510,3148442,2,34029,4,3,1
2511,3148489,2,36027,4,4,1
2512,3148670,2,34013,2,3,0
2513,3148743,2,36085,1,2,1
2514,3148757,2,34031,1,4,0
2515,3148880,2,36103,4,2,1
2516,3148973,2,34023,9,3,3
2517,3149025,2,36103,4,2,2
2518,3149045,2,36047,2,4,0
2519,3149058,2,36119,2,2,2
2520,3149059,2,36061,1,4,0
2521,3149110,2,36103,4,1,4
2522,3149275,2,34003,3,3,3
2523,3149291,2,34017,9,2,1
2524,3149318,2,36047,2,5,0
2525,3149354,2,36061,4,4,0
2526,3149381,2,36081,1,4,1
2527,3149490,2,34017,1,2,0
2528,3149517,2,36103,2,5,2
2529,3149569,2,34027,2,3,2
2530,3149751,2,36047,3,5,0
2531,3149771,2,36081,4,1,1
2532,3149867,2,36061,2,1,0
2533,3149871,2,36061,4,1,0
2534,3149992,2,36047,3,2,0
2535,3150085,2,36005,1,5,0
2536,3150473,2,36047,1,4,0
2537,3150641,2,36061,4,3,1
2538,3150705,2,9001,1,3,1
2539,3150749,2,34023,1,3,2
2540,3150765,2,34003,4,2,1
2541,3150794,2,36059,1,4,2
2542,3150818,2,36119,9,4,2
2543,3150911,2,36081,3,4,1
2544,3151039,2,36059,9,1,2
2545,3151074,2,36081,4,2,1
2546,3151113,2,34003,4,3,3
2547,3151124,2,34017,2,3,1
2548,3151194,2,36059,4,2,3
2549,3151233,2,36047,2,3,0
2550,3151290,2,34031,3,2,5
2551,3151295,2,34019,3,1,2
2552,3151336,2,36061,4,5,0
2553,3151405,2,36005,3,2,2
2554,3151585,2,36119,3,5,2
2555,3151638,2,36005,1,5,0
2556,3151639,2,36047,2,5,0
2557,3151739,2,36047,2,4,0
2558,3151746,2,34037,1,3,2
2559,3151757,2,36027,9,5,1
2560,3151806,2,34041,1,5,1
2561,3151814,2,36005,2,5,1
2562,3151825,2,34017,2,2,1
2563,3152129,2,36061,2,3,1
2564,3152278,2,36119,4,2,1
2565,3152375,2,34017,4,3,1
2566,3152423,2,36005,1,3,2
2567,3152556,2,9009,3,5,2
2568,3152625,2,36047,1,5,0
2569,3152629,2,36047,2,2,1
2570,3152679,2,36027,1,3,1
2571,3152736,2,36027,4,2,4
2572,3152805,2,36061,2,2,1
2573,3152842,2,36081,4,4,3
2574,3152852,2,34023,3,3,1
2575,3152935,2,34017,2,1,0
2576,3153049,2,36047,2,3,1
2577,3153063,2,36061,4,3,4
2578,3153082,2,9009,3,3,1
2579,3153105,2,34003,1,2,0
2580,3153158,2,36047,2,2,1
2581,3153260,2,34025,4,2,2
2582,3153343,2,9009,2,3,1
2583,3153356,2,36119,2,2,1
2584,3153392,2,36103,3,2,1
2585,3153406,2,36047,3,1,1
2586,3153521,2,36047,1,2,0
2587,3153559,2,9001,3,4,1
2588,3153643,2,9009,2,5,2
2589,3153657,2,36027,3,4,2
2590,3153689,2,36081,1,4,0
2591,3153715,2,34003,1,2,1
2592,3153915,2,34029,4,4,2
2593,3153986,2,36061,3,2,0
2594,3154036,2,34029,2,5,4
2595,3154090,2,34021,2,1,2
2596,3154385,2,34027,3,4,1
2597,3154554,2,36061,2,2,0
2598,3154577,2,34017,2,1,1
2599,3154585,2,36005,1,5,0
2600,3154653,2,36061,4,1,5
2601,3154655,2,36071,1,2,1
2602,3155001,2,36005,1,5,0
2603,3155112,2,34003,1,3,4
2604,3155113,2,36047,2,3,1
2605,3155154,2,36061,4,1,1
2606,3155158,2,34017,4,3,0
2607,3155193,2,34021,4,4,2
2608,3155201,2,36087,3,1,1
2609,3155260,2,36061,3,3,0
2610,3155422,2,36081,1,4,0
2611,3155435,2,34027,2,1,1
2612,3155582,2,36027,4,2,2
2613,3155687,2,36047,2,2,2
2614,3155723,2,36061,4,3,0
2615,3155910,2,34017,9,2,1
2616,3156003,2,36047,1,5,1
2617,3156402,2,36047,3,1,0
2618,3156768,2,36059,1,2,3
2619,3156832,2,34017,4,3,0
2620,3156842,2,36071,2,5,1
2621,3156850,2,34023,9,2,2
2622,3156985,2,36119,4,2,2
2623,3156997,2,34031,1,4,0
2624,3157206,2,34027,4,1,3
2625,3157316,2,36081,1,2,0
2626,3157338,2,34037,4,1,2
2627,3157569,2,36071,4,5,2
2628,3157699,2,34029,4,1,4
2629,3157768,2,36103,4,3,3
2630,3157897,2,34027,2,1,2
2631,3157987,2,34035,3,5,1
2632,3158267,2,34017,4,1,1
2633,3158303,2,36059,2,4,2
2634,3158489,2,36027,4,2,2
2635,3158679,2,34017,4,3,1
2636,3158742,2,36027,2,4,2
2637,3158820,2,36027,4,2,4
2638,3158837,2,9001,4,5,2
2639,3158862,2,36119,1,1,0
2640,3158880,2,34017,9,4,1
2641,3158920,2,36087,3,2,1
2642,3158960,2,36103,2,5,1
2643,3159030,2,36061,4,2,0
2644,3159033,2,36071,4,1,2
2645,3159099,2,34035,3,2,2
2646,3159132,2,34037,3,4,3
2647,3159166,2,34021,4,4,2
2648,3159286,2,36047,4,5,1
2649,3159317,2,34023,4,4,2
2650,3159350,2,36061,2,1,0
2651,3159553,2,34025,3,1,1
2652,3159612,2,36079,3,1,2
2653,3159632,2,36005,3,5,1
2654,3160546,2,34017,4,3,0
2655,3160682,1,34027,4,5,3
2656,3160714,1,34023,3,5,2
2657,3160723,1,36047,1,1,1
2658,3160843,1,36005,2,3,0
2659,3160958,1,34041,2,4,2
2660,3160972,1,36081,2,2,1
2661,3160974,1,34029,2,3,2
2662,3161024,1,36081,2,3,3
2663,3161071,1,34025,4,1,2
2664,3161088,1,34029,2,2,3
2665,3161158,1,36047,1,1,0
2666,3161234,1,34027,1,2,2
2667,3161291,1,34035,2,4,2
2668,3161296,1,36081,2,2,0
2669,3161312,1,36005,9,2,1
2670,3161325,1,36047,4,1,1
2671,3161350,1,9009,4,3,4
2672,3161397,1,34041,1,2,1
2673,3161467,1,34037,3,1,2
2674,3161490,1,36047,4,3,1
2675,3161500,1,36005,2,2,1
2676,3161516,1,36081,2,1,2
2677,3161582,1,36081,4,3,0
2678,3161594,1,34027,4,2,2
2679,3161610,1,36061,1,3,0
2680,3161644,1,36103,1,1,0
2681,3161685,1,34021,9,1,2
2682,3161695,1,34003,2,3,3
2683,3161709,1,36087,2,4,1
2684,3161756,1,36081,1,2,0
2685,3161885,1,36005,2,2,1
2686,3161898,1,36005,2,2,1
2687,3161900,1,34017,4,3,1
2688,3161977,1,36059,4,2,2
2689,3162004,1,36027,1,2,2
2690,3162023,1,36071,4,1,3
2691,3162035,1,36085,1,1,1
2692,3162049,1,34023,2,3,2
2693,3162108,1,34025,3,3,1
2694,3162126,1,34023,3,3,2
2695,3162133,1,34041,2,3,2
2696,3162256,1,36059,4,2,4
2697,3162275,1,34041,2,1,2
2698,3162291,1,36061,1,5,0
2699,3162303,1,36087,4,5,3
2700,3162375,1,36061,1,2,1
2701,3162419,1,36085,4,4,2
2702,3162559,1,34027,3,4,1
2703,3162575,1,34013,4,2,3
2704,3162602,1,34027,2,4,2
2705,3162640,1,36005,4,3,2
2706,3162687,1,36085,1,1,0
2707,3162688,1,36087,2,3,2
2708,3162708,1,36085,4,3,1
2709,3162720,1,34003,4,1,3
2710,3162737,1,34029,2,1,1
2711,3162746,1,36103,4,1,2
2712,3162751,1,34019,2,2,1
2713,3162826,1,34003,2,2,1
2714,3162863,1,36119,2,2,2
2715,3162878,1,34041,2,4,3
2716,3162893,1,34023,2,3,3
2717,3162923,1,34013,2,3,2
2718,3162940,1,34029,2,2,2
2719,3162949,1,36005,2,1,1
2720,3163009,1,36059,9,4,2
2721,3163130,1,36119,9,3,2
2722,3163132,1,36061,1,4,0
2723,3163144,1,34025,4,2,1
2724,3163165,1,34019,4,4,3
2725,3163197,1,36061,4,1,0
2726,3163202,1,34019,9,4,2
2727,3163203,1,36119,4,3,2
2728,3163210,1,36047,2,4,1
2729,3163212,1,36027,3,4,2
2730,3163223,1,34023,4,5,3
2731,3163352,1,36103,2,1,2
2732,3163429,1,36061,1,2,0
2733,3163572,1,34039,2,4,3
2734,3163587,1,34037,4,3,2
2735,3163613,1,34019,4,3,2
2736,3163615,1,36005,1,1,1
2737,3163619,1,34021,1,1,2
2738,3163669,1,36081,1,2,0
2739,3163749,1,34023,1,2,2
2740,3163822,1,34039,3,2,2
2741,3163827,1,34017,2,2,1
2742,3163841,1,34021,4,3,3
2743,3163860,1,34041,2,4,1
2744,3163925,1,34013,2,4,0
2745,3163983,1,36005,1,3,0
2746,3163998,1,34025,2,3,2
2747,3164002,1,34025,4,2,2
2748,3164006,1,34037,9,3,3
2749,3164024,1,34031,1,3,2
2750,3164067,1,34019,4,3,3
2751,3164069,1,36005,1,3,0
2752,3164072,1,9009,2,2,3
2753,3164086,1,36047,9,2,1
2754,3164125,1,34021,4,3,3
2755,3164168,1,36079,2,1,1
2756,3164206,1,9001,4,2,1
2757,3164303,1,34037,4,3,2
2758,3164356,1,34003,4,1,3
2759,3164358,1,34041,2,3,2
2760,3164459,1,36119,2,1,1
2761,3164463,1,36085,1,2,0
2762,3164474,1,36047,4,2,1
2763,3164493,1,36103,4,1,2
2764,3164497,1,36047,2,2,0
2765,3164540,1,36059,2,4,2
2766,3164569,1,36027,4,4,2
2767,3164601,1,36059,4,3,3
2768,3164632,1,36085,4,1,3
2769,3164647,1,34027,4,2,5
2770,3164659,1,34003,9,5,1
2771,3164691,1,9009,3,4,2
2772,3164723,1,34021,4,1,2
2773,3164857,1,36005,1,4,0
2774,3164862,1,36119,1,3,1
2775,3164878,1,36061,4,3,0
2776,3164901,1,34013,2,2,2
2777,3164961,1,34019,3,2,4
2778,3164967,1,36119,4,1,3
2779,3165015,1,36061,4,1,1
2780,3165068,1,34013,4,3,1
2781,3165105,1,36103,4,1,2
2782,3165181,1,36059,2,4,1
2783,3165225,1,36119,4,1,3
2784,3165226,1,34035,9,3,3
2785,3165312,1,36027,2,4,2
2786,3165345,1,36061,1,3,0
2787,3165362,1,9009,2,5,2
2788,3165374,1,34037,2,1,2
2789,3165380,1,34021,3,1,4
2790,3165397,1,34019,3,2,5
2791,3165465,1,36047,4,2,1
2792,3165507,1,36047,2,3,1
2793,3165545,1,36119,3,3,3
2794,3165551,1,34027,2,1,2
2795,3165610,1,34003,2,3,2
2796,3165621,1,9009,2,2,3
2797,3165682,1,36087,4,4,2
2798,3165699,1,36119,4,5,2
2799,3165724,1,36059,4,2,4
2800,3165765,1,34021,2,2,1
2801,3165786,1,34013,9,2,2
2802,3165822,1,34019,4,3,4
2803,3165901,1,34027,4,4,1
2804,3165924,1,36085,2,3,1
2805,3165955,1,34003,4,2,2
2806,3165961,1,36079,4,5,2
2807,3165990,1,34003,4,1,2
2808,3166040,1,36085,2,1,2
2809,3166124,1,36103,2,5,2
2810,3166202,1,36061,3,3,0
2811,3166227,1,36087,4,5,2
2812,3166251,1,36047,2,5,1
2813,3166290,1,34029,2,4,2
2814,3166428,1,36103,1,3,1
2815,3166569,1,34027,4,1,2
2816,3166638,1,36061,1,4,0
2817,3166671,1,34017,4,4,2
2818,3166687,1,36081,9,2,1
2819,3166688,1,36087,3,1,3
2820,3166692,1,34039,1,4,1
2821,3166788,1,36103,1,2,1
2822,3166796,1,34027,4,4,2
2823,3166809,1,36059,4,5,2
2824,3166814,1,34037,2,4,1
2825,3166831,1,34039,4,2,3
2826,3166874,1,36087,2,4,1
2827,3166904,1,34017,1,3,2
2828,3166925,1,34035,3,1,1
2829,3166935,1,36061,2,2,0
2830,3166946,1,34029,1,3,1
2831,3166993,1,34029,4,2,4
2832,3166996,1,36119,4,2,3
2833,3167077,1,34003,4,2,2
2834,3167089,1,36059,2,2,1
2835,3167127,1,36005,9,1,0
2836,3167210,1,34003,4,4,3
2837,3167223,1,36081,2,5,1
2838,3167229,1,9001,2,3,4
