SAMPN,RECMode,RETMode,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3001135,2,1,34013,21,2,1,1,1,2,1,1,,6,4,2,0,0,2,0,4,3.78,1,56.77778,CALDWELL,CALDWELL BOROUGH,Caldwell borough,NJ,08755,3121,34013021701,56.24,8,5,4,2,4,2,6,0,2,2,0,0,4,0,1.89,1.89,0,0,3.78
3001161,2,2,34037,14,2,1,1,1,2,1,1,,4,3,2,0,2,2,0,4,5.72,1,258.83333,NEWTON,,Stillwater township,NJ,07860,3383,34037373900,181.27,11,5,4,2,2,2,2,4,0,0,0,4,0,5.72,0,0,0,5.72,0
3001181,2,2,36061,13,2,1,1,1,2,1,1,,99,3,1,0,1,2,0,4,6.09,1,437.25,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10027,242,36061022600,222.27,1,1,1,2,9,1,4,0,0,4,0,0,4,0,0,6.09,0,0,6.09
3001190,2,2,36047,8,2,1,1,2,1,1,1,,2,5,0,0,0,1,0,5,4.72,1,208.77778,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1082,36047000501,327.44,2,1,1,1,1,0,6,0,2,3,0,0,5,0,1.89,2.83,0,0,4.72
3001218,2,1,34029,15,2,1,1,1,2,1,1,,4,1,2,1,1,2,0,12,22.64,1,265.6,LAKEWOOD,,Lakewood township,NJ,08701,3296,34029715700,263.81,10,5,4,2,2,2,4,12,0,0,0,2,10,22.64,0,0,0,2.45,20.19
3001293,2,2,36047,8,2,1,1,2,2,1,1,,6,4,0,0,2,2,0,6,6.84,1,208.77778,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1082,36047000501,57.56,2,1,1,2,4,0,2,0,5,1,0,4,2,0,5.39,1.45,0,4.56,2.28
3001312,1,2,9009,14,2,1,1,1,4,1,1,,99,2,2,2,2,2,1,22,26.32,1,250,BRANFORD,,Branford town,CT,06405,3510,9009184500,50,6,4,3,4,9,2,2,16,4,2,0,2,20,19.83,4.87,1.62,0,1.66,24.66
3001332,2,2,34035,6,2,1,1,1,1,1,1,,4,3,1,0,0,1,0,0,0,1,501.125,SOMERSET,SOMERSET CDP,Franklin township,NJ,08873,3190,34035053105,440.08,9,5,4,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3001346,2,1,36087,21,2,1,1,2,2,1,1,,5,4,2,0,2,2,0,7,19.62,1,105.15385,SUFFERN,SUFFERN VILLAGE,Ramapo town,NY,10901,2291,36087011902,83.46,4,3,1,2,3,2,2,7,0,0,0,0,7,19.62,0,0,0,0,19.62
3001413,2,2,36059,17,2,1,1,1,2,1,1,,99,4,2,0,0,2,0,0,0,1,398.16667,BALDWIN,BALDWIN CDP,Hempstead town,NY,11510,1763,36059413500,221.99,3,2,1,2,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3001535,2,2,34003,17,2,1,1,1,2,1,1,,6,2,1,0,1,2,0,2,1.66,1,135.28571,LEONIA,LEONIA BOROUGH,Leonia borough,NJ,07605,2689,34003028001,129.33,7,5,4,2,4,1,4,0,2,0,0,2,0,0,1.66,0,0,1.66,0
3001559,2,2,34039,15,2,1,1,2,1,1,1,,3,1,2,0,0,1,0,5,4.43,1,318.16667,CLARK,,Clark township,NJ,07066,3124,34039036301,51.33,8,5,4,1,2,2,6,5,0,0,0,0,5,4.43,0,0,0,0,4.43
3001621,2,3,36079,19,2,1,1,2,1,1,1,,1,5,0,0,0,1,0,6,11.88,1,105.27778,MAHOPAC,MAHOPAC CDP,Carmel town,NY,10541,2308,36079011400,66.2,4,3,1,1,1,0,6,4,0,2,0,0,6,8.01,0,3.87,0,0,11.88
3001622,2,2,36071,18,2,1,1,2,1,1,1,,2,2,0,0,0,1,0,1,1,1,172.66667,GOSHEN,GOSHEN VILLAGE,Goshen town,NY,10924,2351,36071012100,287.96,5,3,2,1,1,0,6,0,1,0,0,0,1,0,1,0,0,0,1
3001623,2,1,34031,16,2,1,1,1,4,1,1,,7,4,2,2,2,2,2,14,14.76,1,249.25,WAYNE,,Wayne township,NJ,07470,2744,34031246001,454.11,7,5,4,4,4,2,1,10,4,0,0,4,10,11.11,3.66,0,0,4.36,10.4
3001633,1,1,34037,21,2,1,1,1,4,1,1,,4,2,2,1,3,2,0,7,7.62,1,124.92857,VERNON,,Vernon township,NJ,07462,3385,34037371700,180.9,11,5,4,4,2,2,2,5,2,0,0,4,3,5.8,1.83,0,0,4.36,3.26
3001654,2,2,9009,2,2,1,1,1,1,1,1,,4,4,1,0,1,1,0,4,7.14,1,1266.5,NORTHFORD,,North Branford town,CT,06472,3514,9009186200,2357.14,6,4,3,1,2,1,4,4,0,0,0,2,2,7.14,0,0,0,3.57,3.57
3001670,2,2,36005,7,2,1,1,2,2,1,1,,6,5,0,0,1,0,0,11,25.21,1,439.33333,BRONX,NEW YORK CITY,Bronx borough,NY,10462,915,36005021001,1156.02,2,1,1,2,4,0,4,1,0,10,0,2,9,1.67,0,23.55,0,3.33,21.88
3001676,2,2,36085,17,2,1,1,1,3,1,1,,6,2,3,1,2,3,0,13,21.41,1,179.875,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10306,1604,36085012200,294.1,2,1,1,3,4,3,2,12,0,1,0,7,6,19.98,0,1.43,0,11.88,9.53
3001732,2,2,34013,14,2,1,1,2,2,1,1,,4,1,1,0,1,1,0,12,12.38,1,658.5,NEWARK,NEWARK CITY,Newark city,NJ,07107,2910,34013000600,716.55,8,5,4,2,2,1,4,12,0,0,0,2,10,12.38,0,0,0,2.86,9.51
3001737,2,1,34027,15,2,1,1,1,2,1,1,,8,1,3,0,1,2,0,4,3.38,1,187.57143,MOUNTAIN LAKES,MOUNTAIN LAKES BOROUGH,Mountain Lakes borough,NJ,07046,3168,34027041200,71.46,9,5,4,2,4,3,4,4,0,0,0,2,2,3.38,0,0,0,1.5,1.87
3001754,2,1,9001,1,2,1,1,1,2,1,1,,5,2,2,0,2,2,0,14,30.56,1,1220,NEWTOWN,,Newtown town,CT,06470,2648,9001230300,153.58,6,4,3,2,3,2,2,14,0,0,0,2,12,30.56,0,0,0,1.5,29.05
3001776,2,1,36119,2,2,1,1,2,3,1,1,,6,2,2,1,2,2,1,6,6.2,1,394.8,CORTLANDT MANOR,,Cortlandt town,NY,10567,2242,36119014606,348.54,4,3,1,3,4,2,1,4,2,0,0,4,2,3.01,3.19,0,0,3.01,3.19
3001818,2,3,36061,6,2,1,1,2,2,1,1,,2,4,0,0,0,1,0,0,0,1,118.9,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10036,82,36061012100,515.45,1,1,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
