ID,SAMPN,PERNO,MODE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST_R1,TRPDUR_R,OTAZ,DTAZ,TOD_R
98,3000783,2,1,1,4,1,1,1,3,2,3296,3288,2
99,3000783,2,1,1,4,1,1,1,3,2,3288,3296,3
100,3000783,2,1,1,4,1,1,1,2,2,3296,3296,3
101,3000783,2,1,1,4,1,1,1,2,2,3296,3296,4
102,3000783,3,1,1,1,1,1,NA,3,2,3296,3288,2
103,3000783,3,1,1,1,1,1,NA,3,2,3288,3296,3
104,3000783,4,1,1,1,1,1,NA,3,2,3296,3288,2
105,3000783,4,1,1,1,1,1,NA,3,2,3288,3296,3
106,3000783,5,1,1,1,1,1,NA,3,2,3296,3288,2
107,3000783,5,1,1,1,1,1,NA,3,2,3288,3296,3
108,3000783,5,1,1,1,1,1,NA,2,2,3296,3296,3
109,3000783,5,1,1,1,1,1,NA,2,2,3296,3296,4
110,3000783,6,1,2,1,1,1,NA,3,2,3296,3288,2
111,3000783,6,1,2,1,1,1,NA,3,2,3288,3296,3
112,3000783,6,1,2,1,1,1,NA,2,2,3296,3296,3
113,3000783,6,1,2,1,1,1,NA,2,2,3296,3296,4
114,3000783,7,1,1,1,1,1,NA,3,2,3296,3288,2
115,3000783,7,1,1,1,1,1,NA,3,2,3288,3296,3
116,3000783,7,1,1,1,1,1,NA,2,2,3296,3296,3
117,3000783,7,1,1,1,1,1,NA,2,2,3296,3296,4
118,3000801,1,1,2,3,4,1,1,3,2,3261,3279,1
119,3000801,1,1,2,3,4,1,1,3,2,3279,3261,1
120,3000801,1,1,2,3,4,1,1,3,2,3261,3279,2
121,3000801,1,1,2,3,4,1,1,3,2,3279,3261,2
122,3000801,3,1,1,1,4,1,NA,3,2,3261,3279,1
123,3000801,3,1,1,1,4,1,NA,3,2,3279,3261,2
124,3000801,4,1,1,1,4,1,NA,3,2,3261,3279,1
125,3000801,4,1,1,1,4,1,NA,3,2,3279,3261,2
126,3000809,2,1,1,5,3,1,1,2,2,2674,2727,2
127,3000809,2,1,1,5,3,1,1,2,2,2727,2674,2
128,3000815,1,1,2,6,1,1,1,1,1,1765,1765,2
129,3000815,1,1,2,6,1,1,1,1,2,1765,1765,2
130,3000827,1,1,2,4,2,1,1,4,3,2542,2508,2
131,3000827,1,1,2,4,2,1,1,4,3,2508,2544,2
132,3000827,1,1,2,4,2,1,1,2,1,2544,2542,2
133,3000938,1,1,2,5,4,1,1,2,1,2723,2708,1
134,3000938,1,1,2,5,4,1,1,2,1,2708,2723,2
135,3000938,1,1,2,5,4,1,1,3,2,2723,2289,2
136,3000938,1,1,2,5,4,1,1,3,2,2289,2723,2
137,3000938,1,1,2,5,4,1,1,2,1,2723,2723,2
138,3000938,2,1,1,5,4,1,1,2,1,2723,2723,3
139,3000938,2,1,1,5,4,1,1,2,1,2723,2723,3
140,3000938,3,1,2,2,4,1,1,6,4,2723,3131,1
141,3000938,3,1,2,2,4,1,1,6,4,3131,2706,2
142,3000938,3,1,2,2,4,1,1,4,2,2706,2661,2
143,3000938,3,1,2,2,4,1,1,1,1,2661,2661,3
144,3000938,3,1,2,2,4,1,1,2,2,2661,2723,3
145,3000938,3,1,2,2,4,1,1,2,1,2723,2661,3
146,3000938,3,1,2,2,4,1,1,2,1,2661,2723,3
147,3001008,1,1,2,4,3,2,2,3,2,3447,3501,3
148,3001008,1,1,2,4,3,2,2,2,3,3501,3499,3
149,3001008,1,1,2,4,3,2,2,3,3,3499,3447,4
150,3001059,1,5,2,6,2,2,2,2,2,873,839,1
151,3001059,1,5,2,6,2,2,2,2,2,839,873,2
152,3001059,1,3,2,6,2,2,2,2,3,873,967,3
153,3001059,1,3,2,6,2,2,2,2,3,967,873,3
154,3001069,1,1,1,4,4,1,1,2,2,3126,3126,3
155,3001069,1,1,1,4,4,1,1,2,2,3126,3126,4
156,3001069,2,1,2,4,4,1,1,3,2,3126,3141,2
157,3001069,2,1,2,4,4,1,1,3,2,3141,3126,2
158,3001069,2,1,2,4,4,1,1,5,4,3126,182,3
159,3001069,2,1,2,4,4,1,1,5,4,182,3126,4
160,3001073,2,1,1,6,3,1,1,2,2,2676,2675,2
161,3001073,2,1,1,6,3,1,1,1,1,2675,2675,2
162,3001073,2,1,1,6,3,1,1,2,2,2675,2676,2
163,3001073,2,1,1,6,3,1,1,6,4,2676,2489,2
164,3001073,2,1,1,6,3,1,1,6,4,2489,2299,3
165,3001073,2,1,1,6,3,1,1,5,3,2299,2676,4
166,3001135,1,3,2,6,4,1,1,4,3,3121,3070,2
167,3001135,1,5,2,6,4,1,1,1,1,3070,3070,2
168,3001135,1,3,2,6,4,1,1,4,3,3070,3122,2
169,3001135,1,5,2,6,4,1,1,1,2,3122,3121,2
